id,category,en,zh,note_zh,note_en
1,3000字,a,(an) 一,"
<span class='g b'>Define <span class='k'>a</span> :</span><span class='p'> [ə]</span><br><div id=""e"">art.一(个)；每一(个)；任一(个)<br>n.英语字母表的第一个字母；学业成绩得优者；表示“最好”的符号</div><br><div class=""t"">例句与用法:</div><div id=""s""><i>1</i>. There is <em><em>a</em></em> pen on the t<em><em>a</em></em>ble.<br>桌子上有一支笔。<br><i>2</i>. We h<em><em>a</em></em>ve <em><em>a</em></em> problem.<br>我们有个问题。<br><i>3</i>. I c<em><em>a</em></em>n only c<em><em>a</em></em>rry two <em><em>a</em></em>t <em><em>a</em></em> time.<br>我一次只能带两个。<br><i>4</i>. Let's go to <em><em>a</em></em> Chinese rest<em><em>a</em></em>ur<em><em>a</em></em>nt.<br>我们去一家中餐餐馆。<br></div><br><div class=""t"">词形变化:</div><div id=""t"">名词复数: <i>a's</i> </div></div><br><div align=""center""><a href=""https://dict.cn/a"" target=""_blank""><font color=gray>查看详细解释</font></a></div>",
2,3000字,a few,幾個;為數不多的;有一些(後面接可數名詞),有些； 几个.<br>pron.一些(用于可数名词之前)<br><br><i>1</i>. There was a slight quiver in his voice as he spoke.<br>他说话时声音有些颤抖。<br><i>2</i>. The wooden floor has a noticeable slant.<br>这木地板可以看得出有些倾斜。<br><i>3</i>. She juiced <em><em>a few</em></em> oranges for her breakfast.<br>她拿几个橙子榨汁当早餐饮料。<br><i>4</i>. Several nations formed a defense league.<br>几个国家结成了防御联盟。<br><i>5</i>. A few anatomic mysteries remain unsolved.<br>一些结构上的疑点仍未解答。<br>,
3,3000字,a little,"少量的(地),稍許的(地)(後面接不可數名詞)","
<span class='g b'>Define <span class='k'>a little</span> :</span><span class='p'> [ə 'lɪtl]</span><br><div id=""e"">一点； 少许； 略微； 稍(用于不可数名词之前)</div><br><div class=""t"">例句与用法:</div><div id=""s""><i>1</i>. The new intern is <em><em>a little</em></em> frisky.<br>这个新来的实习生有一点爱戏闹。<br><i>2</i>. He managed to swallow <em><em>a little</em></em> soup and dry toast.<br>他设法吞下一点汤和不涂奶油的土司。<br><i>3</i>. There is a vein of melancholy in his character.<br>他的性格中有少许忧郁的气质。<br><i>4</i>. A little danger adds zest to sport.<br>少许危险对游戏可以助兴。<br></div><br><div align=""center""><a href=""https://dict.cn/a+little"" target=""_blank""><font color=gray>查看详细解释</font></a></div>",
4,3000字,a lot,"【口】大量的,許多的","
<span class='g b'>Define <span class='k'>a lot</span> :</span><span class='p'> [ə lɑːt]</span><br><div id=""e"">n.许多，大量； 很多<br>adv.许多，大量</div><br><div class=""t"">例句与用法:</div><div id=""s""><i>1</i>. The boy had <em><em>a lot</em></em> of pocket money.<br>这男孩有许多零用钱。<br><i>2</i>. He met with many a setback in his lifetime.<br>他一生中遭到过许多挫折。<br><i>3</i>. That department store has <em><em>a lot</em></em> of trade.<br>那家百货公司顾客很多。<br><i>4</i>. Tom fooled <em><em>a lot</em></em> of people into believing him.<br>汤姆骗得很多人相信他。<br></div><br><div align=""center""><a href=""https://dict.cn/a+lot"" target=""_blank""><font color=gray>查看详细解释</font></a></div>",
5,3000字,able,"能,可,會[F][+to-v]","
<span class='g b'>Define <span class='k'>able</span> :</span><span class='p'> ['eɪbl]</span><br><div id=""e"">adj.能够的；有能力的；能干的</div><br><div class=""t"">例句与用法:</div><div id=""s""><i>1</i>. We shall be <em><em>able</em></em> to deal with all sorts of problem.<br>我们应该能够应付各种困难。<br><i>2</i>. She bet me 20 that I wouldn't be <em><em>able</em></em> to give up smoking.<br>她和我打20英镑的赌，说我戒不了烟。<br><i>3</i>. Free will makes us <em><em>able</em></em> to choose our way of life.<br>自由的意志使我们可以选择自己的生活方式。<br><i>4</i>. By no means was he <em><em>able</em></em> to handle it.<br>这件事他绝对没办法处理。<br></div><br><div class=""t"">词形变化:</div><div id=""t"">副词: <i>ably</i> 比较级: <i>abler</i> 最高级: <i>ablest</i> </div></div><br><div align=""center""><a href=""https://dict.cn/able"" target=""_blank""><font color=gray>查看详细解释</font></a></div>",
6,3000字,about,"關於,對於","
<span class='g b'>Define <span class='k'>about</span> :</span><span class='p'> [ə'baʊt]</span><br><div id=""e"">prep.关于；大约；在 ... 周围<br>adv.大约；附近；到处；在周围<br>adj.即将的；正要的；在流行中的</div><br><div class=""t"">例句与用法:</div><div id=""s""><i>1</i>. Tell me all <em><em>about</em></em> it.<br>告诉我关于这件事的一切。<br><i>2</i>. It is <em><em>about</em></em> six o'clock now.<br>现在是六点钟左右。<br><i>3</i>. It was a long flight and it took <em><em>about</em></em> fourteen hours.<br>时间真长,飞了大约十四个小时。<br><i>4</i>. All <em><em>about</em></em> us in the store were piles of goods.<br>在这家店里,我们周围到处都是成堆的商品。<br><i>5</i>. Dinner is <em><em>about</em></em> ready.<br>中饭就要做好了。<br><i>6</i>. He was <em><em>about</em></em> to start.<br>他即将动身。<br></div><br><div align=""center""><a href=""https://dict.cn/about"" target=""_blank""><font color=gray>查看详细解释</font></a></div>",
7,3000字,above,在…上面,"
<span class='g b'>Define <span class='k'>above</span> :</span><span class='p'> [ə'bʌv]</span><br><div id=""e"">prep.超过；在 ... 上面；高于<br>adj.上面的；以上的<br>adv.在上面；超过；更重要地；上文地<br>n.上面的东西</div><br><div class=""t"">例句与用法:</div><div id=""s""><i>1</i>. The glider was soaring <em><em>above</em></em> the valley.<br>那架滑翔机在山谷上空滑翔。<br><i>2</i>. Applicants must be <em><em>above</em></em> the age of 18.<br>申请者的年龄必须超过18岁。<br><i>3</i>. The temperature has been <em><em>above</em></em> the average recently.<br>近来的气温一直比平均温度高。<br><i>4</i>. The sun rose <em><em>above</em></em> the horizon.<br>太阳升到地平线上。<br><i>5</i>. The <em><em>above</em></em> bedroom is mine.<br>上面的房间是我的。<br><i>6</i>. We are fascinated by the stars twinkling <em><em>above</em></em>.<br>天空中闪烁的星星让我们陶醉着。<br></div><br><div align=""center""><a href=""https://dict.cn/above"" target=""_blank""><font color=gray>查看详细解释</font></a></div>",
8,3000字,afraid,"害怕的,怕的[(+of)][+to-v][+(that)]","
<span class='g b'>Define <span class='k'>afraid</span> :</span><span class='p'> [ə'freɪd]</span><br><div id=""e"">adj.抱歉的；担心的；害怕的</div><br><div class=""t"">例句与用法:</div><div id=""s""><i>1</i>. I'm <em><em>afraid</em></em> we can't come.<br>很抱歉，我们不能来。<br><i>2</i>. I'm <em><em>afraid</em></em> I didn't quie catch what you said.<br>对不起,我没听清你刚才所说的话。<br><i>3</i>. I didn't mention it because I was <em><em>afraid</em></em> of upsetting him/<em><em>afraid</em></em> (that) I might upset him.<br>我没有提起那件事，因为我怕他心烦意乱。<br><i>4</i>. Are you <em><em>afraid</em></em> of snakes?<br>你怕蛇吗?<br></div><br><div align=""center""><a href=""https://dict.cn/afraid"" target=""_blank""><font color=gray>查看详细解释</font></a></div>",
9,3000字,after,在…以後,"
<span class='g b'>Define <span class='k'>after</span> :</span><span class='p'> ['æftər]</span><br><div id=""e"">adv.以后；后来<br>conj.在 ... 以后<br>prep.在 ... 之后；在后面；关于；追赶；依照<br>adj.以后的</div><br><div class=""t"">例句与用法:</div><div id=""s""><i>1</i>. They met in June and became lovers soon <em><em>after</em></em>.<br>他们在六月相遇, 不久就成了情侣。<br><i>2</i>. The day <em><em>after</em></em>, he apologized.<br>次日，他道歉了。<br><i>3</i>. They lived happily ever <em><em>after</em></em>.<br>他们後来一直生活得很幸福。<br><i>4</i>. After dinner we paired off and went to dance.<br>饭后我们成双成对地跳舞去了。<br></div><br><div align=""center""><a href=""https://dict.cn/after"" target=""_blank""><font color=gray>查看详细解释</font></a></div>",
10,3000字,afternoon,"下午,午後[C][U]","
<span class='g b'>Define <span class='k'>afternoon</span> :</span><span class='p'> [ˌæftər'nuːn]</span><br><div id=""e"">n.下午</div><br><div class=""t"">例句与用法:</div><div id=""s""><i>1</i>. Good <em><em>afternoon</em></em>!<br>下午好！<br><i>2</i>. She could knit up a baby's coatee in an <em><em>afternoon</em></em>.<br>她一个下午就能编结好一件婴孩的紧身短上衣。<br><i>3</i>. I met him in a hot and breathless <em><em>afternoon</em></em>.<br>我是在一个又闷又热的下午遇到他的。<br></div><br><div align=""center""><a href=""https://dict.cn/afternoon"" target=""_blank""><font color=gray>查看详细解释</font></a></div>",
